City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
85,yamada,39.4667,141.95,294.12,65,84,3.2,JP,1726456918
86,nar'yan-mar,67.6713,53.087,287.37,75,98,3.2,RU,1726456919
87,sivrihisar,39.4504,31.5341,286.55,78,0,2.98,TR,1726456692
88,nemuro,43.3236,145.575,290.16,68,1,1.48,JP,1726456922
89,tolanaro,-25.0319,46.9987,291.19,94,0,2.06,MG,1726456923
90,suciu de sus,47.4333,24.0333,283.09,97,100,0.84,RO,1726456924
91,kogalym,62.2654,74.4791,280.46,58,100,3.16,RU,1726456925
92,lavras,-21.2453,-44.9997,291.57,48,7,2.85,BR,1726456685
93,martinho campos,-19.3317,-45.2369,294.9,43,1,1.22,BR,1726456927
94,taulaga,-11.0553,-171.0883,301.08,78,98,5.64,AS,1726456929
95,port augusta,-32.5,137.7667,292.12,26,0,4.86,AU,1726456930
96,ta`u,-14.2336,-169.5144,299.78,80,32,5.29,AS,1726456932
97,hermanus,-34.4187,19.2345,284.15,66,98,2.02,ZA,1726456933
98,saint-joseph,-21.3667,55.6167,292.36,68,38,5.49,RE,1726456934
99,uturoa,-16.7333,-151.4333,299.28,78,40,3.36,PF,1726456935
100,kapuskasing,49.4169,-82.4331,294.2,83,20,3.09,CA,1726456936
101,ust-nera,64.5667,143.2,278.35,60,83,1.34,RU,1726456937
102,igrim,63.1906,64.4162,284.96,79,1,2.88,RU,1726456939
103,constantia,44.1833,28.65,285.76,93,64,6.31,RO,1726456803
104,ta'izz,13.5,44.0,296.08,62,90,1.17,YE,1726456941
105,college,64.8569,-147.8028,284.12,76,75,2.57,US,1726456942
106,gadzhiyevo,69.2551,33.3362,282.82,98,100,1.51,RU,1726456943
107,st. john's,47.5649,-52.7093,281.79,85,40,1.79,CA,1726456715
108,port lincoln,-34.7333,135.8667,286.08,61,7,5.23,AU,1726456945
109,xiva,41.3783,60.3639,291.89,29,30,2.82,UZ,1726456946
110,ilulissat,69.2167,-51.1,271.54,87,100,2.13,GL,1726456947
111,seredyna-buda,52.189,34.0364,286.11,46,4,4.19,UA,1726456949
112,lubang,13.8584,120.124,301.91,77,100,4.17,PH,1726456950
113,anadyr,64.75,177.4833,282.43,66,0,2.0,RU,1726456951
114,kodiak,57.79,-152.4072,286.88,51,75,2.06,US,1726456952
115,thompson,55.7435,-97.8558,287.24,67,0,3.09,CA,1726456953
116,isafjordur,66.0755,-23.124,275.93,69,100,2.31,IS,1726456955
117,keflavik,64.0049,-22.5624,277.39,75,0,3.6,IS,1726456956
118,praia da vitoria,38.7333,-27.0667,296.35,78,20,4.05,PT,1726456957
119,badger,64.8,-147.5333,284.29,84,75,2.57,US,1726456958
120,mabaruma,8.2,-59.7833,298.09,91,0,0.79,GY,1726456959
121,lakeway,30.3638,-97.9796,301.09,63,75,4.12,US,1726456960
122,berezovyy,51.6667,135.7,290.11,50,100,2.61,RU,1726456961
123,huarmey,-10.0681,-78.1522,290.0,86,93,3.12,PE,1726456962
124,zharkent,44.1628,80.0,292.93,28,65,3.27,KZ,1726456729
125,el haouaria,37.05,11.0144,293.16,61,75,9.04,TN,1726456964
126,mount pearl,47.5166,-52.7813,281.33,90,41,0.89,CA,1726456965
127,ajdabiya,30.7554,20.2263,295.98,64,0,2.21,LY,1726456967
128,mandalgovi,45.7625,106.2708,285.53,38,0,2.25,MN,1726456968
129,altay,47.8667,88.1167,285.38,41,2,1.4,CN,1726456623
130,kokopo,-4.352,152.2633,302.19,71,58,3.13,PG,1726456970
131,aban,56.67,96.06,277.46,75,100,1.94,RU,1726456971
132,enewetak,11.3474,162.3373,301.81,80,100,7.36,MH,1726456972
133,tamanrasset,22.785,5.5228,294.1,73,0,2.06,DZ,1726456973
134,ouadda,8.0777,22.4007,292.88,99,100,1.93,CF,1726456974
135,kralendijk,12.15,-68.2667,303.14,74,20,7.72,BQ,1726456774
136,prado,-17.3411,-39.2208,296.45,81,70,4.74,BR,1726456976
137,wailua homesteads,22.0669,-159.378,300.59,75,75,6.69,US,1726456977
138,cururupu,-1.8283,-44.8683,298.05,81,12,2.1,BR,1726456978
139,puerto aysen,-45.4,-72.7,277.96,100,100,2.43,CL,1726456979
140,thinadhoo,0.5333,72.9333,301.76,75,94,4.3,MV,1726456980
141,barreirinhas,-2.7469,-42.8264,298.63,82,30,4.97,BR,1726456981
142,angra dos reis,-23.0067,-44.3181,293.42,92,69,0.86,BR,1726456945
143,cabedelo,-6.9811,-34.8339,295.52,75,26,7.47,BR,1726456983
144,olonkinbyen,70.9221,-8.7187,275.77,96,100,10.75,SJ,1726456984
145,callao,-12.0667,-77.15,290.22,82,100,2.06,PE,1726456897
146,whitehorse,60.7161,-135.0538,287.58,47,40,8.23,CA,1726456987
147,verkhnevilyuysk,63.4453,120.3167,279.81,55,7,2.19,RU,1726456988
148,minas de marcona,-15.2119,-75.1103,283.9,87,59,4.56,PE,1726456989
149,cabo san lucas,22.8909,-109.9124,298.57,87,0,6.17,MX,1726456870
150,chibougamau,49.9168,-74.3659,289.94,82,20,3.09,CA,1726456991
151,la passe,45.5549,-0.8967,285.08,65,55,4.26,FR,1726456992
152,sisimiut,66.9395,-53.6735,275.65,88,93,2.95,GL,1726456993
153,lebu,-37.6167,-73.65,280.98,91,51,5.07,CL,1726456994
154,kalifornsky,60.4183,-151.29,285.52,74,0,11.32,US,1726456995
155,fort st. john,56.2499,-120.8529,286.09,54,75,5.66,CA,1726456996
156,port saint john's,-31.6229,29.5448,291.36,89,57,2.18,ZA,1726456997
157,ust'-ilimsk,58.0006,102.6619,274.78,94,100,2.86,RU,1726456998
158,general jose de san martin,-26.5374,-59.3416,287.41,61,0,2.64,AR,1726456999
159,kuta,-8.7233,115.1723,299.12,78,100,1.54,ID,1726456966
160,antsiranana,-12.2787,49.2917,294.57,64,20,7.2,MG,1726457002
161,mahebourg,-20.4081,57.7,294.31,64,40,5.66,MU,1726457004
162,nouadhibou,20.931,-17.0347,294.14,88,4,4.63,MR,1726457005
163,klyuchi,52.2667,79.1667,278.98,58,0,7.07,RU,1726457007
164,bandarbeyla,9.4942,50.8122,298.16,69,33,9.74,SO,1726457008
165,vrangel',42.7297,133.0839,291.16,62,100,3.15,RU,1726457009
166,shimoda,34.6667,138.95,301.49,80,70,1.05,JP,1726457010
167,elva,58.2225,26.4211,289.23,100,100,3.6,EE,1726457011
168,ancud,-41.8697,-73.8203,279.74,87,1,1.0,CL,1726457013
169,afonso bezerra,-5.4983,-36.5056,297.01,66,5,9.04,BR,1726457014
170,batang,-6.4846,110.7083,304.86,45,84,1.31,ID,1726457015
171,pontianak,-0.0333,109.3333,303.14,84,20,2.57,ID,1726457016
172,sechura,-5.5569,-80.8222,290.37,83,9,5.82,PE,1726457017
173,belyy yar,53.6039,91.3903,278.09,75,0,6.0,RU,1726457018
174,roberval,48.5168,-72.2324,293.5,68,75,3.6,CA,1726456859
175,manokwari,-0.8667,134.0833,301.7,73,24,2.63,ID,1726457021
176,igarka,67.4667,86.5833,279.54,53,100,4.85,RU,1726457022
177,hotan,37.0997,79.9269,296.54,23,82,3.59,CN,1726457023
178,merizo village,13.2658,144.6691,299.46,94,100,14.51,GU,1726457024
179,lensk,60.7253,114.9278,277.39,77,100,3.88,RU,1726457025
180,hadibu,12.65,54.0333,298.31,80,48,7.86,YE,1726457026
181,vila velha,-20.3297,-40.2925,296.45,89,0,3.58,BR,1726456917
182,turkmenbasy,40.0222,52.9552,286.58,62,0,2.06,TM,1726457028
183,hounde,11.5,-3.5167,296.06,94,100,2.26,BF,1726457029
184,cill airne,52.05,-9.5167,283.42,90,61,1.38,IE,1726457030
185,nybro,56.7446,15.9071,282.6,88,98,2.86,SE,1726457031
186,falun,60.6036,15.626,280.13,98,42,0.45,SE,1726456806
187,dauphin,51.1494,-100.0502,289.23,67,0,3.09,CA,1726457033
188,la foa,-21.7108,165.8276,294.36,53,100,6.25,NC,1726457034
189,antofagasta,-23.65,-70.4,286.75,70,10,1.52,CL,1726456909
190,invercargill,-46.4,168.35,282.6,74,100,4.92,NZ,1726457038
191,dumas,35.8656,-101.9732,299.23,27,0,3.09,US,1726457039
192,singrauli,24.1997,82.6753,299.18,79,94,6.65,IN,1726457040
193,kabalo,-6.05,26.9167,296.9,33,9,1.21,CD,1726457041
194,forster,-32.1667,152.5167,294.47,36,0,3.96,AU,1726457042
195,port elizabeth,-33.918,25.5701,288.31,94,75,4.63,ZA,1726456883
196,udachny,66.4167,112.4,275.56,73,100,5.09,RU,1726457044
197,mao,39.8885,4.2658,291.46,63,0,4.63,ES,1726457045
198,tomatlan,19.9333,-105.25,299.05,93,100,0.49,MX,1726457046
199,island harbour,50.724,-1.2758,287.6,67,100,2.2,GB,1726457047
200,jamjamal,35.5365,44.8317,297.47,33,0,1.28,IQ,1726457048
201,nehe,48.4833,124.8333,294.26,38,100,8.67,CN,1726457049
202,essaouira,31.5125,-9.77,293.87,88,2,2.06,MA,1726457050
203,mount pleasant,32.7941,-79.8626,296.14,87,100,6.17,US,1726457008
204,northam,51.0333,-4.2167,287.38,97,100,1.23,GB,1726457052
205,christchurch,-43.5333,172.6333,286.11,61,20,5.36,NZ,1726457053
206,nadi,-17.8,177.4167,301.15,69,40,5.66,FJ,1726457054
207,hede,33.7681,120.2517,300.66,87,100,9.04,CN,1726457055
208,mount gambier,-37.8333,140.7667,285.44,61,99,4.49,AU,1726457058
209,arraial do cabo,-22.9661,-42.0278,294.7,93,2,5.29,BR,1726457059
210,port mathurin,-19.6833,63.4167,293.9,71,50,11.36,MU,1726457060
211,okakarara,-20.5833,17.4333,292.92,10,86,2.99,NA,1726456874
212,givet,50.138,4.8255,283.25,94,75,1.03,FR,1726457062
213,thal,35.4791,72.2439,287.19,49,0,1.09,PK,1726457063
